result_dir,type,evaluate_mode,epochs,n_subject,n_aug,n_seg,heads,depth,emb_dim,validate_ratio,run_tag,notes,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_kappa,std_accuracy,std_precision,std_recall,std_f1,std_kappa,subjects_count,name,duration_sec,status,detected_by
A_heads_2_depth_6_smoke_a,A,,,,,,,,,,,,30.90277777777778,37.64638132594985,30.90277777777778,25.11714136260879,7.870370370370372,30.90277777777778,37.64638132594985,30.90277777777778,25.11714136260879,7.870370370370372,0,,,,
A_heads_2_depth_6,A,,,,,,,,,,,,31.25,51.40331693092764,31.24999999999999,26.45268873973985,8.333333333333337,31.25,51.40331693092764,31.24999999999999,26.45268873973985,8.333333333333337,0,,,,
A_heads_2_depth_6_smoke_a_v2,A,LOSO-No,5.0,1.0,3.0,8.0,2.0,6.0,16.0,,smoke_a_v2,快速验证脚本流程,32.29166666666667,28.62002267724938,32.29166666666667,25.05632692926669,9.722222222222221,32.29166666666667,28.62002267724938,32.29166666666667,25.05632692926669,9.722222222222221,0,smoke_A,4.660692930221558,ok,updated
A_heads_2_depth_6_loso_a_low_aug_20251102_170252,A,,,,,,,,,,,A-LOSO (N_AUG=1),57.54243827160494,64.60774972773325,57.54243827160494,54.54704358564369,43.38991769547325,14.98876107876394,12.98566318800045,14.98876107876394,16.97037938197771,19.98501477168526,9,loso_run_a_low_aug,124238.71496844292,ok,new
B_heads_2_depth_6_smoke_b,B,,,,,,,,,,,,60.0,60.05656819610308,60.0,59.94367078704428,20.0,60.0,60.05656819610308,60.0,59.94367078704428,20.0,0,,,,
B_heads_2_depth_6_smoke_b_v2,B,LOSO-No,5.0,1.0,3.0,8.0,2.0,6.0,16.0,,smoke_b_v2,BCI IV-2b 冒烟测试,61.25000000000001,62.57861635220125,61.25000000000001,60.19900497512438,22.5,61.25000000000001,62.57861635220125,61.25000000000001,60.19900497512438,22.5,0,smoke_B,4.119848251342773,ok,updated
B_heads_2_depth_6_loso_b_low_aug_20251102_170254,B,,,,,,,,,,,A-LOSO (N_AUG=1),74.78546528985126,77.83160144706558,74.78546528985126,74.14802342002103,49.57093057970251,5.412928562885152,6.706183071630968,5.412928562885155,5.456929404450962,10.8258571257703,9,loso_run_a_low_aug,124238.71496844292,ok,new
A_heads_2_depth_6_full_a_1762043947,A,,,,,,,,,,,BCI IV-2a subject-specific 1000 epochs,80.8641975308642,81.87591646237139,80.8641975308642,80.6427951895587,74.48559670781891,11.31598826278605,10.32313285005465,11.31598826278605,11.43619701543309,15.0879843503814,9,full_run_a,2612.7567484378815,ok,new
B_heads_2_depth_6_full_b_1762055916,B,,,,,,,,,,,BCI IV-2b subject-specific 1000 epochs,87.49503968253968,88.29342272640672,87.4950396825397,87.39820701182657,74.99007936507935,9.467376633823772,9.190951359894688,9.467376633823774,9.539318465042381,18.93475326764754,9,full_run_b,1603.5487921237946,ok,new
